Pattern_ID,Cluster,Category,Framework,in_degree,out_degree
P2-SF-001,5,SF,T,27.0,27.0
P2-SF-002,1,SF,N,15.0,2.0
P2-SF-003,1,SF,N,15.0,2.0
P2-SF-004,1,SF,N,15.0,2.0
P2-SF-005,1,SF,N,15.0,2.0
P2-SF-006,1,SF,N,15.0,2.0
P2-SF-007,1,SF,N,15.0,2.0
P2-SF-008,1,SF,N,15.0,2.0
P2-SF-009,1,SF,S,10.0,2.0
P2-SF-010,1,SF,N,15.0,2.0
P2-MP-001,8,MP,U,40.0,4.0
P2-MP-002,10,MP,U,40.0,4.0
P2-MP-003,8,MP,U,40.0,4.0
P2-MP-004,10,MP,U,40.0,4.0
P2-MP-005,11,MP,N,27.0,20.0
P2-MP-006,10,MP,U,40.0,4.0
P2-MP-007,10,MP,R,23.0,6.0
P2-MP-008,8,MP,U,40.0,4.0
P2-MP-009,10,MP,U,40.0,4.0
P2-MP-010,10,MP,U,40.0,4.0
P2-FP-001,3,FP,N,38.0,21.0
P2-FP-002,3,FP,S,4.0,10.0
P2-FP-003,3,FP,S,4.0,10.0
P2-FP-004,3,FP,S,4.0,10.0
P2-FP-005,3,FP,S,4.0,10.0
P2-FP-006,3,FP,N,3.0,29.0
P2-FP-007,3,FP,N,3.0,29.0
P2-FP-008,3,FP,N,3.0,29.0
P2-FP-009,3,FP,N,3.0,29.0
P2-FP-010,5,FP,T,20.0,33.0
P2-MR-001,8,MR,U,26.0,37.0
P2-MR-002,9,MR,U,26.0,37.0
P2-MR-003,8,MR,U,26.0,37.0
P2-MR-004,8,MR,U,26.0,37.0
P2-MR-005,8,MR,U,26.0,37.0
P2-SF-011,11,SF,N,15.0,2.0
P2-SF-012,11,SF,N,15.0,2.0
P2-SF-013,1,SF,U,66.0,1.0
P2-SF-014,1,SF,U,66.0,1.0
P2-SF-015,1,SF,N,15.0,2.0
P2-SF-016,1,SF,N,15.0,2.0
P2-SF-017,1,SF,N,15.0,2.0
P2-SF-018,11,SF,N,15.0,2.0
P2-SF-019,1,SF,N,15.0,2.0
P2-SF-020,1,SF,N,15.0,2.0
P2-MP-011,10,MP,U,40.0,4.0
P2-MP-012,10,MP,U,40.0,4.0
P2-MP-013,8,MP,U,40.0,4.0
P2-MP-014,8,MP,R,23.0,6.0
P2-MP-015,8,MP,U,40.0,4.0
P2-FP-011,2,FP,R,1.0,12.0
P2-FP-012,2,FP,R,15.0,3.0
P2-FP-013,3,FP,N,3.0,29.0
P2-FP-014,3,FP,S,4.0,10.0
P2-FP-015,3,FP,U,35.0,41.0
P2-MR-006,8,MR,U,26.0,37.0
P2-MR-007,9,MR,U,26.0,37.0
P2-MR-008,9,MR,N,13.0,33.0
P2-MR-009,9,MR,N,13.0,33.0
P2-MR-010,7,MR,T,13.0,28.0
CS-MP-001,12,MP,U,15.0,47.0
CS-MP-002,12,MP,U,15.0,47.0
CS-MP-003,12,MP,U,15.0,47.0
CS-MP-004,12,MP,U,15.0,47.0
CS-MP-005,12,MP,T,22.0,41.0
CS-MR-001,6,MR,U,0.0,75.0
CS-MR-002,6,MR,U,0.0,75.0
CS-MR-003,6,MR,U,0.0,75.0
CS-MR-004,7,MR,T,13.0,28.0
CS-MR-005,4,MR,T,13.0,28.0
CS-TS-001,4,TS,T,0.0,23.0
CS-TS-002,4,TS,T,0.0,23.0
CS-TS-003,4,TS,T,0.0,23.0
CS-TS-004,4,TS,T,0.0,23.0
CS-TS-005,4,TS,T,0.0,23.0
CS-TS-006,5,TS,T,0.0,23.0
CS-TS-007,5,TS,T,0.0,23.0
CS-TS-008,5,TS,T,0.0,23.0
CS-TS-009,5,TS,T,0.0,23.0
CS-TS-010,5,TS,T,0.0,23.0
CS-MP-006,12,MP,U,15.0,47.0
CS-MP-007,12,MP,U,15.0,47.0
CS-MR-006,7,MR,T,13.0,28.0
CS-MR-007,6,MR,U,0.0,75.0
CS-MR-008,6,MR,U,0.0,75.0
CS-MR-009,6,MR,U,0.0,75.0
CS-MP-008,12,MP,T,22.0,41.0
CS-MP-009,12,MP,T,22.0,41.0
CC-MP-001,11,MP,U,40.0,4.0
CC-MP-002,11,MP,U,40.0,4.0
CC-MP-003,11,MP,U,40.0,4.0
CC-MP-004,11,MP,U,40.0,4.0
CC-MP-005,11,MP,N,27.0,20.0
CC-MP-006,11,MP,N,27.0,20.0
CC-MP-007,11,MP,N,27.0,20.0
CC-MP-008,11,MP,N,27.0,20.0
FD-OP-001,10,MP,R,47.0,0.0
FD-OP-002,2,FP,R,15.0,3.0
FD-OP-003,7,MR,T,55.0,8.0
FD-OP-004,2,FP,R,15.0,3.0
FD-OP-005,12,MP,U,38.0,37.0
FD-FP-001,2,FP,N,38.0,21.0
FD-FP-002,2,FP,S,17.0,1.0
FD-FP-003,2,FP,T,57.0,6.0
FD-FP-004,2,FP,R,15.0,3.0
FD-MP-001,12,MP,T,49.0,31.0
FD-MP-002,12,MP,T,49.0,31.0
FD-MP-003,12,MP,U,31.0,39.0
FD-MP-004,12,MP,U,31.0,39.0
FD-MP-005,12,MP,U,31.0,39.0
FD-MP-006,11,MP,U,31.0,39.0
FD-MP-007,12,MP,U,38.0,37.0
FD-MP-008,10,MP,U,73.0,2.0
FD-MP-009,12,MP,U,31.0,39.0
FD-MR-001,7,MR,T,55.0,8.0
FD-MR-002,7,MR,S,28.0,7.0
FD-MR-003,7,MR,T,41.0,21.0
FD-MR-004,5,MR,S,11.0,26.0
FD-MR-005,6,MR,U,16.0,74.0
FD-TS-001,5,TS,T,21.0,18.0
FD-TS-002,5,TS,T,0.0,23.0
FD-TS-003,5,TS,T,20.0,22.0
