Pattern_ID,Lifespan_Cycles,Category,Framework,Format,Precision,Cluster
P2-SF-001,1,SF,T,M,Q,5
P2-SF-002,792,SF,N,P,Q,1
P2-SF-003,797,SF,N,P,Q,1
P2-SF-004,800,SF,N,P,Q,1
P2-SF-005,800,SF,N,P,Q,1
P2-SF-006,792,SF,N,P,Q,1
P2-SF-007,792,SF,N,P,Q,1
P2-SF-008,792,SF,N,P,X,1
P2-SF-009,792,SF,S,P,Q,1
P2-SF-010,800,SF,N,P,Q,1
P2-MP-001,792,MP,U,P,L,8
P2-MP-002,792,MP,U,P,X,10
P2-MP-003,792,MP,U,P,L,8
P2-MP-004,792,MP,U,P,X,10
P2-MP-005,797,MP,N,C,Q,11
P2-MP-006,792,MP,U,P,Q,10
P2-MP-007,797,MP,R,C,X,10
P2-MP-008,792,MP,U,P,L,8
P2-MP-009,792,MP,U,P,L,10
P2-MP-010,792,MP,U,P,L,10
P2-FP-001,967,FP,N,P,L,3
P2-FP-002,792,FP,S,P,L,3
P2-FP-003,792,FP,S,P,L,3
P2-FP-004,792,FP,S,P,L,3
P2-FP-005,792,FP,S,P,L,3
P2-FP-006,792,FP,N,P,L,3
P2-FP-007,792,FP,N,P,L,3
P2-FP-008,792,FP,N,P,L,3
P2-FP-009,792,FP,N,P,Q,3
P2-FP-010,5,FP,T,P,L,5
P2-MR-001,792,MR,U,P,L,8
P2-MR-002,792,MR,U,P,L,9
P2-MR-003,792,MR,U,P,X,8
P2-MR-004,792,MR,U,P,L,8
P2-MR-005,792,MR,U,P,L,8
P2-SF-011,797,SF,N,C,Q,11
P2-SF-012,797,SF,N,C,Q,11
P2-SF-013,797,SF,U,P,Q,1
P2-SF-014,792,SF,U,P,Q,1
P2-SF-015,797,SF,N,P,Q,1
P2-SF-016,800,SF,N,P,Q,1
P2-SF-017,800,SF,N,P,Q,1
P2-SF-018,797,SF,N,C,L,11
P2-SF-019,792,SF,N,P,Q,1
P2-SF-020,792,SF,N,P,X,1
P2-MP-011,792,MP,U,P,X,10
P2-MP-012,792,MP,U,P,Q,10
P2-MP-013,792,MP,U,P,X,8
P2-MP-014,792,MP,R,P,L,8
P2-MP-015,792,MP,U,P,L,8
P2-FP-011,797,FP,R,C,L,2
P2-FP-012,967,FP,R,C,L,2
P2-FP-013,797,FP,N,P,L,3
P2-FP-014,797,FP,S,P,L,3
P2-FP-015,792,FP,U,P,L,3
P2-MR-006,792,MR,U,P,L,8
P2-MR-007,792,MR,U,P,Q,9
P2-MR-008,792,MR,N,P,L,9
P2-MR-009,792,MR,N,P,L,9
P2-MR-010,5,MR,T,M,L,7
CS-MP-001,1,MP,U,D,X,12
CS-MP-002,1,MP,U,D,L,12
CS-MP-003,1,MP,U,D,L,12
CS-MP-004,0,MP,U,D,L,12
CS-MP-005,0,MP,T,D,L,12
CS-MR-001,3,MR,U,D,L,6
CS-MR-002,1,MR,U,D,L,6
CS-MR-003,1,MR,U,D,L,6
CS-MR-004,1,MR,T,D,L,7
CS-MR-005,1,MR,T,D,Q,4
CS-TS-001,1,TS,T,D,Q,4
CS-TS-002,1,TS,T,D,Q,4
CS-TS-003,1,TS,T,D,Q,4
CS-TS-004,1,TS,T,D,Q,4
CS-TS-005,1,TS,T,D,Q,4
CS-TS-006,1,TS,T,D,Q,5
CS-TS-007,1,TS,T,D,X,5
CS-TS-008,1,TS,T,D,L,5
CS-TS-009,1,TS,T,D,L,5
CS-TS-010,1,TS,T,D,L,5
CS-MP-006,0,MP,U,D,X,12
CS-MP-007,0,MP,U,D,L,12
CS-MR-006,0,MR,T,D,L,7
CS-MR-007,1,MR,U,D,Q,6
CS-MR-008,1,MR,U,D,L,6
CS-MR-009,1,MR,U,D,L,6
CS-MP-008,1,MP,T,D,L,12
CS-MP-009,0,MP,T,D,L,12
CC-MP-001,0,MP,U,C,X,11
CC-MP-002,0,MP,U,C,Q,11
CC-MP-003,0,MP,U,C,L,11
CC-MP-004,0,MP,U,C,Q,11
CC-MP-005,0,MP,N,C,L,11
CC-MP-006,0,MP,N,C,Q,11
CC-MP-007,0,MP,N,C,L,11
CC-MP-008,0,MP,N,C,Q,11
FD-OP-001,975,MP,R,D,L,10
FD-OP-002,975,FP,R,D,L,2
FD-OP-003,975,MR,T,D,L,7
FD-OP-004,975,FP,R,D,L,2
FD-OP-005,533,MP,U,D,L,12
FD-FP-001,975,FP,N,D,L,2
FD-FP-002,975,FP,S,D,L,2
FD-FP-003,975,FP,T,D,L,2
FD-FP-004,975,FP,R,D,L,2
FD-MP-001,34,MP,T,D,X,12
FD-MP-002,34,MP,T,D,Q,12
FD-MP-003,5,MP,U,D,X,12
FD-MP-004,278,MP,U,D,X,12
FD-MP-005,278,MP,U,D,L,12
FD-MP-006,278,MP,U,D,Q,11
FD-MP-007,533,MP,U,D,X,12
FD-MP-008,975,MP,U,D,L,10
FD-MP-009,11,MP,U,D,X,12
FD-MR-001,975,MR,T,D,L,7
FD-MR-002,975,MR,S,D,L,7
FD-MR-003,298,MR,T,D,L,7
FD-MR-004,278,MR,S,D,X,5
FD-MR-005,85,MR,U,D,L,6
FD-TS-001,298,TS,T,D,L,5
FD-TS-002,6,TS,T,D,L,5
FD-TS-003,111,TS,T,D,L,5
